filename,label,mean_saturation,black_spot_ratio
c51ed52b-7c1a-47fa-83c2-097502ee09b9___FREC_Scab 3146.JPG,apple scab,0.40816793,0.001434326171875
670efd0e-9a5e-44db-bd5a-4ffb5c5e5a7d___FREC_Scab 3108.JPG,apple scab,0.27629858,0.06964111328125
48e62e54-d02a-41bb-8486-234408706e69___FREC_Scab 3190.JPG,apple scab,0.25861335,0.0020294189453125
bb495423-1617-447c-95cd-52ebabee1a59___FREC_Scab 3199.JPG,apple scab,0.35115916,0.0023651123046875
0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,apple scab,0.3172983,0.16802978515625
4d02c4a9-4b0d-4b4b-9695-91f08228ee53___FREC_Scab 3274.JPG,apple scab,0.3477276,0.077484130859375
0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG,apple scab,0.27400187,0.0042572021484375
baa34f65-7a7a-4308-ad86-4fe8f0da288d___FREC_Scab 3115.JPG,apple scab,0.21761134,0.0
14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,apple scab,0.3481858,0.1619720458984375
86054e9e-26b4-42b5-b192-58ddee7b0c34___FREC_Scab 3011.JPG,apple scab,0.28298116,0.0842132568359375
7c66bda4-301c-4987-85b8-fd8230c5a2f2___FREC_Scab 3324.JPG,apple scab,0.24376683,0.00457763671875
4e770559-e332-470e-aae3-c7ad0399dd20___FREC_Scab 3513.JPG,apple scab,0.31300437,0.0050201416015625
cad140d1-bf93-4d65-bae8-c2e332f1346f___FREC_Scab 3426.JPG,apple scab,0.24374788,0.012786865234375
ca37bd3e-47ec-415d-8012-81e4efcc6be5___FREC_Scab 2917.JPG,apple scab,0.21210076,0.0025177001953125
7e2bacbd-f92b-417e-879f-002f3862718c___FREC_Scab 3374.JPG,apple scab,0.31185955,0.005615234375
6a61688a-c972-4f8f-b3b7-46fd00264240___FREC_Scab 3271.JPG,apple scab,0.31279477,0.03472900390625
d8aeb323-17d2-4123-9988-3c2346558bc6___FREC_Scab 2996.JPG,apple scab,0.30022678,0.004852294921875
0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG,apple scab,0.26348978,0.0343170166015625
7bc2b2d5-b2b6-4ac2-9bbe-322ce8d7d9bb___FREC_Scab 2944.JPG,apple scab,0.2753781,0.0420074462890625
80870a3d-e028-47c6-9548-cef00d68be2c___FREC_Scab 3469.JPG,apple scab,0.24258468,0.0474853515625
c84037f0-a9ba-46fc-9e44-ca67914ae7d0___FREC_Scab 3171.JPG,apple scab,0.302115,0.0110931396484375
162d8ca4-7cd3-46f1-904f-09721df3e498___FREC_Scab 3336.JPG,apple scab,0.28719136,0.020355224609375
dce5b716-54ad-420c-911c-476b838c4be9___FREC_Scab 3045.JPG,apple scab,0.4180905,0.1278076171875
3523d2d8-0da9-4b83-b09d-21bd96860a3d___FREC_Scab 3499.JPG,apple scab,0.38281193,0.2075653076171875
b67039ac-fa02-4db5-9aad-a429c329263f___FREC_Scab 3435.JPG,apple scab,0.35170397,0.00946044921875
83dc6270-1c10-4c76-a1a2-6b562fcb4e4c___FREC_Scab 3478.JPG,apple scab,0.41200498,0.003814697265625
de6e3dd8-b2b8-4bce-aa4f-83cc514f2007___FREC_Scab 3511.JPG,apple scab,0.36725384,0.0248870849609375
84671985-6989-4451-b61d-c32dda7d7c5f___FREC_Scab 3379.JPG,apple scab,0.2229158,0.0248260498046875
bf99a731-b08d-47af-8d65-196bbb0ca2e3___FREC_Scab 3344.JPG,apple scab,0.3382951,0.04754638671875
029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,apple scab,0.26549482,0.087860107421875
3d34bd1c-fae9-446a-a629-147b5e8d5d6b___FREC_Scab 3103.JPG,apple scab,0.3388692,0.048431396484375
892da302-54b8-43a1-960d-055f5eb3f0a1___FREC_Scab 3019.JPG,apple scab,0.27976316,0.2447509765625
32454154-edbf-464f-8097-e99a3d9a15af___FREC_Scab 2936.JPG,apple scab,0.3223144,0.045745849609375
0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,apple scab,0.3220838,0.101470947265625
3652fd23-ba4c-4958-8db8-3aff8f614dfd___FREC_Scab 3377.JPG,apple scab,0.33384138,0.063385009765625
3bf2f5f8-4578-405a-88c6-c5338620a078___FREC_Scab 3059.JPG,apple scab,0.41267276,0.2417449951171875
b8199a66-9ef5-498c-b55d-9a05d67433a5___FREC_Scab 2920.JPG,apple scab,0.25638145,0.000946044921875
f8ef99d9-9d01-4aeb-9248-e8c312c9a981___FREC_Scab 3129.JPG,apple scab,0.4212317,0.0054931640625
1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG,apple scab,0.3253987,0.099365234375
09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,apple scab,0.21757598,0.083709716796875
6e8ed8d7-45e0-446a-aad1-d7ccf4a861fe___FREC_Scab 3068.JPG,apple scab,0.32146475,0.0321807861328125
795c112f-bd6c-4d70-8986-b1c2fb62cbf2___FREC_Scab 3384.JPG,apple scab,0.28552073,0.0536651611328125
8455ff58-ba10-44ee-abfc-0055cf6f0449___FREC_Scab 3135.JPG,apple scab,0.28832066,0.010528564453125
5fcb921d-3329-443c-a708-37c3943f5493___FREC_Scab 2987.JPG,apple scab,0.35443786,0.112396240234375
15bfa086-7d4a-43c0-800d-2fe8255ba50c___FREC_Scab 3150.JPG,apple scab,0.36882925,0.0059661865234375
3c2f46e3-9f96-4912-a9d5-7a046aa6a1b2___FREC_Scab 2967.JPG,apple scab,0.29284462,0.052215576171875
0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,apple scab,0.2713003,0.0265045166015625
